Initial,Bank,DA_per_bank,MA_per_bank,DA_total,MA_total
C,CITIZENS,1290630,1623995.986,5644213,7002758.986
C,DCB,177328,225265,5644213,7002758.986
C,DHARTI,271687,342477,5644213,7002758.986
C,Equitas,282405,347346,5644213,7002758.986
C,IOB,49812,57566,5644213,7002758.986
C,KVB,217880,257496,5644213,7002758.986
C,POST CITY,630000,863100,5644213,7002758.986
C,Parswanath,60281,74353,5644213,7002758.986
C,RAJ,1032309,1344677,5644213,7002758.986
C,RDCB,139534,162208,5644213,7002758.986
C,RNSB,461496,582799,5644213,7002758.986
C,SBI,1000000,1082000,5644213,7002758.986
C,UTKARSH,30851,39476,5644213,7002758.986
H,CITIZENS,360000,455173,360000,455173
J,CITIZENS,200000,242878,200000,242878
R,CITIZENS,606601,762564,2010108,2457620
R,DCB,61463,78233,2010108,2457620
R,Equitas,75949,92644,2010108,2457620
R,JIVAN,44715,54350,2010108,2457620
R,KVB,207100,242270,2010108,2457620
R,Parswanath,338508,407569,2010108,2457620
R,RAJ,302497,365416,2010108,2457620
R,RDCB,102851,118396,2010108,2457620
R,RNSB,130424,162740,2010108,2457620
R,UTKARSH,140000,173438,2010108,2457620
S,CITIZENS,2703312,3428757.917,7052235,9229508.917
S,DCB,807380,1020464,7052235,9229508.917
S,DHARTI,384907,488975,7052235,9229508.917
S,Equitas,178637,227125,7052235,9229508.917
S,KVB,183278,216607,7052235,9229508.917
S,LIC,600000,1044000,7052235,9229508.917
S,POST CITY,315000,431550,7052235,9229508.917
S,Parswanath,246304,301062,7052235,9229508.917
S,RAJ,1039678,1342865,7052235,9229508.917
S,RDCB,139534,162208,7052235,9229508.917
S,RNSB,381840,477317,7052235,9229508.917
S,UTKARSH,72365,88578,7052235,9229508.917
V,CITIZENS,1204424,1524804,3014920,3757616
V,DCB,323776,411611,3014920,3757616
V,KVB,162556,190164,3014920,3757616
V,Parswanath,380775,457532,3014920,3757616
V,RAJ,426893,538484,3014920,3757616
V,RDCB,132849,152928,3014920,3757616
V,RNSB,383647,482093,3014920,3757616
